instruction,input,output
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.","How does the ""Office"" field support cost allocation strategies?","The ""Office"" field enables accurate cost allocation by categorizing expenses based on the originating office, facilitating the attribution of costs to specific departments or projects for budgeting and performance evaluation purposes."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",Can you discuss the role of expense categories in benchmarking and financial benchmarking?,"Expense categories serve as benchmarks for comparing spending patterns against industry standards or historical data, aiding in financial benchmarking efforts to identify areas of cost efficiency or areas for improvement."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.","How do sub-categories in the ""Sub-Categories"" field aid in variance analysis?","Sub-categories in the ""Sub-Categories"" field provide additional granularity for variance analysis, allowing organizations to identify deviations from budgeted expenses at a more detailed level and investigate underlying causes for variance."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.","What is the significance of regularly updating the ""Category"" field?","Regularly updating the ""Category"" field ensures that expense classifications remain relevant and accurate, reflecting changes in spending patterns, organizational structure, and financial reporting requirements."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.","How can the ""Sub-Categories"" field be used to improve expense forecasting?","he ""Sub-Categories"" field improves expense forecasting by providing detailed insights into specific areas of spending, enabling more precise predictions of future expenditures and better budget planning."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.","What best practices should be followed when entering data into the ""Incurred At"" field?","Best practices for entering data into the ""Incurred At"" field include ensuring accuracy of the date and time, aligning with the actual payment date, and maintaining consistency across all expense records for reliable financial reporting."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.","How does the ""Add Expense On behalf Of"" field assist in managing petty cash expenses?","The ""Add Expense On behalf Of"" field assists in managing petty cash expenses by clearly differentiating between petty cash expenditures by employees and those processed through formal accounting channels, facilitating better petty cash control."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.","How can the ""Select Employee"" field enhance transparency in expense management?","The ""Select Employee"" field enhances transparency by clearly identifying who incurred each expense, enabling better tracking, accountability, and analysis of individual spending patterns within the organization."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.","Why is it important to attach supporting documents in the ""Attachments"" field?","Attaching supporting documents in the ""Attachments"" field is important for verifying the legitimacy of expenses, facilitating audits, ensuring compliance with financial policies, and supporting reimbursement claims."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.","How does the ""Office"" field support centralized financial oversight?","The ""Office"" field supports centralized financial oversight by aggregating expenses by office, allowing finance teams to monitor and manage spending across different locations or departments from a central point."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What factors should be considered when adding new sub-categories from company settings?,"Factors to consider include relevance to existing expense categories, ease of use, clarity in classification, alignment with business operations, and compatibility with financial reporting needs."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.","How can the ""Incurred At"" field data be used for trend analysis?","Data from the ""Incurred At"" field can be used for trend analysis by tracking the timing of expenses over periods, identifying seasonal spending patterns, and forecasting future financial needs based on historical data."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.","How does the ""Add Expense On behalf Of"" field aid in the segregation of duties?","The ""Add Expense On behalf Of"" field aids in the segregation of duties by clearly distinguishing between expenses handled by accountants and those managed by employees, reducing the risk of fraud and ensuring proper internal controls."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.","What is the impact of accurate data entry in the ""Select Employee"" field on expense reporting?","Accurate data entry in the ""Select Employee"" field ensures that expense reports correctly attribute costs to the responsible individuals, facilitating accurate financial tracking, reporting, and accountability."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.","How do attachments in the ""Attachments"" field support internal audits?","Attachments in the ""Attachments"" field support internal audits by providing documentary evidence of expenses, allowing auditors to verify transactions, assess compliance, and ensure the integrity of financial records."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what are  work groups ?,its a group of employees that share the same managers and can be working on the same project
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to create a new work group ?,"navigate to the employees section and select work groups tab then navigate to the ""Add new "" button , add the required information and then press save."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to edit a  work group?,"under the employees section , navigate to the work groups tab and find the desired work group then press the edit button ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to delete a work group ?,"under the employees section , navigate to the work groups tab and find the desired work group then press the delete button ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what are work  teams  ?,its a group of employees within a work group who share the same work timing ans usually work on the same task.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to create a new work team ?,"under the employee section , navigate to the work team tab and press ""Add new "" button  and fill in the required details."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to edit  a work team ?,"under the employee section , navigate to the work team tab and press the team you wish to edit , then navigate and press the edit button ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to add employee in work team ?,"when creating an attendance type configuration for an employee , choose shifts and the provide the work group and work team."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what are employee action ?,"its a feature that allows managers to apply certain actions  across multiple employees , departments or positions."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to assign access levels in bulk ?,"under the employees section , under the employees actions , navigate and find the desired employee , select the employee/s then press 'bulk action ""button then choose assign access level and pick the desired access level. "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to change day off settings in bulk ?,"under the employees section , under the employees actions , navigate and find the desired employee , select the employee/s then press 'bulk action ""button then choose change day off settings ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to change  Holiday settings in bulk ?,"under the employees section , under the employees actions , navigate and find the desired employee , select the employee/s then press 'bulk action ""button then choose change holiday settings  . "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to change  check in settings  in bulk ?,"under the employees section , under the employees actions , navigate and find the desired employee , select the employee/s then press 'bulk action ""button then choose check in settings . "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to change  departments  in bulk ?,"under the employees section , under the employees actions , navigate and find the desired employee , select the employee/s then press 'bulk action ""button then choose change department and fill in he desired details."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to change  positions in bulk ?,"under the employees section , under the employees actions , navigate and find the desired employee , select the employee/s then press 'bulk action ""button then choose change positions."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to change  change the work remotely  settings in bulk ?,"under the employees section , under the employees actions , navigate and find the desired employee , select the employee/s then press 'bulk action ""button then choose change the work remotely settings ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what are Employee documents ?,"its a feature that allows manager to track employees documents and know which is missing and which is expired ,"
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what is the requests section ?,"its the section where managers can view requests , loan requests , claims , requests rules and approval rules."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can i accept employees requests ?,"under the requests section , under the requests section , navigate and find the request to be accepted and press accept ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can i reject employee requests ?,"under the requests section , under the requests section , navigate and find the request to be rejected and press reject ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can i accept multiple employee requests ?,"under the requests section , under the requests section , navigate and select the requests to be accepted and press accept ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can i reject multiple employee requests ?,"under the requests section , under the requests section , navigate and select the requests to be rejected and press reject."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can i filter out requests by request type ?,"under the requests section , under the request tab , use the""Type"" field to select the desired leave type to filter."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can i filter out requests by Employees ?,"under the requests section , under the request tab , use the""Employees"" field to select the desired employee to find."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can i filter out requests by offices ?,"under the requests section , under the request tab , use the""offices"" field to select the desired office to find."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can i filter out requests by date range ?,"under the requests section , under the request tab , use the""from and to "" field to select the desired date range  to find."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can i view pending requests ?,"under the requests section , under the requests tab ,  the requests being displayed are the pending requests by default. "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can i view approved requests ?,"under the requests section , under the requests tab ,  navigate and press the filter button , then choose Approved from the filters."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can i view rejected requests ?,"under the requests section , under the requests tab ,  navigate and press the filter button , then choose rejected from the filters."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can i view request's comments ?,"under the requests section , under the requests tab ,  navigate and press the comments button to view the comments on a certain request ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can i make a comment on a certain request ?,"under the requests section , under the requests tab ,  navigate and press the comments button to view and add comments on a certain request ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what are loan requests ?,its a feature that allows employees to easily request loans and allows managers to accept or reject just as easily .
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",where can  find employee's loan requests ?,"under the requests section , under the loan requests tab , you can view all  pending , approved or rejected loan requests."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What are expense claims ?,its a feature that allows employees to request previously paid amount of money on behalf of the company.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can i view expense claims ?,"under the requests section , under the claims tab , you can view all  pending , approved or rejected loan requests."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can  i accepts expense claims ?,"under the requests section , under the claims tab , navigate and select the claims you want to accept and press accept. "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can i reject expense claims ?,"under the requests section , under the claims tab , navigate and select the claims you want to reject and press reject. "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what are request rules ?,its a feature that allows managers to create a rule to auto accept or auto reject a certain type of leaves or certain list of employees.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can i create a new request rule ?,"under the requests section , under the requests rules tab ,  navigate and press the ""new rule "" to add new rules."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can i enable / disable certain request rules ?,"under the requests section , under the requests rules  , navigate and toggle the status of the desired request rule . "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to edit a request rule ?,"under the requests section  , under request rules tab , navigate and find the request rules you would like to edit then click on the edit button and modify the with the desired details ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to delete a request rule?,"under the requests section  , under request rules tab , navigate and find the request rules you would like to delete then click on the delete button and modify the with the desired details ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what are approval rules ?,"In HRM systems, approval layers and rules ensure that decisions are properly authorized and compliant with company policies:Approval Rules: Specific criteria that dictate who needs to approve a request and in what order. These rules streamline the process and ensure consistency, such as needing finance approval for expenses over a certain amount.\nTogether, they ensure proper oversight and control over HR-related decisions."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to create a new approval rule ?,"navigate to requests section and select the approval rules tab , then navigate and select new rule button and fill the required fields."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to edit an approval rule ?,"under the requests section , under the approval rules section , navigate and find the approval rule then press the edit button and modify the desired details "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to delete an approval layer ?,"under the requests section , under the approval rules section , navigate and find the approval rule then press the delete button "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what is the attendance section ?,"its the section that includes the employees work calendar , attendance history , penalties , assignments , monthly report , facial recognition and leave adjustments . "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what is work calendar ?,"its a feature that allows managers to view , create , edit and delete work schedules  for employees "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to create new schedule ?,"under the attendance section , under the calendar tab , navigate and find the plan new schedule button "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to create new assignment ?,"under the attendance section , under the work calendar tab , navigate and find the create assignment button then press it ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view employees work schedule?,"under the attendance section , under the work calendar tab , navigate and press the draw calendar button ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view schedules based on work places ?,"under the attendance section , under the work calendar tab , from the work places dropdown menu select the desired work place  ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view schedules based on work groups ?,"under the attendance section , under the work calendar tab , from the work groups dropdown menu select the desired work group  ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view schedules based on work teams ?,"under the attendance section , under the work calendar tab , from the work teams dropdown menu select the desired work team."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view schedules based on Employees  ?,"under the attendance section , under the work calendar tab , from the employees dropdown menu select the desired employee."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what is attendance history ?,its a features that allows managers to view the attendance history of employees and edit the status of their attendance records .
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view employees attendance history sorted by their offices ?,"under the attendance section , under the attendance history tab , navigate and select an office from the offices dropdown menu then press apply button"
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view employees attendance history sorted by their Positions ?,"under the attendance section , under the attendance history tab , navigate and select a position from the Positions dropdown menu then press apply button"
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view employees attendance history sorted by their Departments ?,"under the attendance section , under the attendance history tab , navigate and select a department from the departments dropdown menu then press apply button"
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view employees attendance history sorted by their work timings ?,"under the attendance section , under the attendance history tab , navigate and select a work timings from the work timings  dropdown menu then press apply button press apply button"
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view employees attendance history sorted by their statuses ?,"under the attendance section , under the attendance history tab , navigate and select a  status from the statuses dropdown menu then press apply button"
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view certain employees attendance history records?,"under the attendance section , under the attendance history tab , navigate and select an employee from the Employees dropdown menu then press apply button"
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view employees attendance history records between a date range ?,"under the attendance section , under the attendance history tab , navigate and select a date from and to  then press apply button"
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to edit attendance for an employee ?,"under the attendance section , under the attendance history tab , navigate and find the record to be edited then press the edi button "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what are the statuses of a working  employee?,"Employees can be On-time , Late , Absent , DayOff , Holiday , Half-day or On Leave"
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to change the work timing for an employee on a certain day ?,"under the attendance section , under the attendance history tab , navigate and find the employee record to be edited then press the edit button then choose the desired work timing to be applied on the employee sign in record then press save . "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what is the penalties tab ?,its a tab that contains all the penalties applied and not applied along with their information
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view an employee penalty ?,"under the attendance section , under the penalties tab , navigate and select and employee from the employees dropdown menu ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view a penalty cause ?,"under the attendance section , under the penalties tab , navigate and select a cause from the causes dropdown menu ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to activate a penalty ?,"under the attendance section , under the penalties tab , navigate and select not applied radio button then navigate and select the penalty to be activated then toggle the applied switch next to it ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to deactivate a penalty ?,"under the attendance section , under the penalties tab , navigate and select  applied radio button then navigate and select the penalty to be deactivated then toggle the applied switch next to it ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to export penalties?,"under attendance section , under the penalties tab , navigate and choose the date range using the from and to fields then press the export button."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to filter penalties by what do they deduct from ?,"under attendance section , under the penalties tab , navigate and choose the deducted from  button (All , salary , annual leaves )"
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what is the assignments tab ?,"its a features that allows managers to view , edit , delete and create new assignments and change shifts  "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view employees assignments in the assignment tab ?,"under the attendance section , under the assignments tab , you can view all assignments in the span of a week . "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to edit an employee assignments ?,"under the attendance section , under the assignments tab , navigate and the press edit on the assignments you wish to edit ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to create a new assignment for an employee ?,"under the attendance section , under the assignments tab , navigate and press the add new button to create a new assignment , you can add multiple employees at a time then press save . "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to create a new assignment for an office ?,"under the attendance section , under the assignments tab , navigate and press the add new button to create a new assignment , you can add multiple offices at a time then press save . "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to create a new assignment for a department ?,"under the attendance section , under the assignments tab , navigate and press the add new button to create a new assignment , you can add multiple departments at a time then press save . "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to change shift for an employee ?,"under the attendance section , under the assignments tab , navigate and press the change shift button then choose the desired details and press save . "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view assignments for a certain employee ?,"under the attendance section , under the assignments tab , navigate and select an employee from the employees dropdown menu ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how view assignments related to a certain work timing ?,"under the attendance section , under the assignments tab , navigate and select a work timing from the work timing dropdown menu . "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view assignments filtered by location ?,"under the attendance section , under the assignments tab , navigate and select a location from te locations dropdown menu ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what is monthly report ?,monthly report is a feature that allows managers to view and export details of employees attendance across of a selected span of time in a month
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view the monthly report of a certain office ?,"under the attendance section , under the monthly report tab , navigate and select an office from the office dropdown menu ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view the monthly report of a certain department ?,"under the attendance section , under the monthly report tab , navigate and select a department from the departments dropdown menu "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view the monthly report for a certain position ?,"under the attendance section , under the monthly report tab , navigate and select a position from the positions dropdown menu "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view the monthly report of a certain employee ?,"under the attendance section , under the monthly report tab , navigate and select an employee from  the employee dropdown menu "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to export a monthly report ?,"under the attendance section , under the attendance tab , navigate and select a date range using the from and to fields then press the export button to export the monthly report for employees in that date range "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to export certain columns in the monthly report ?,"under the attendance section , under the monthly report tab , navigate and select the desired columns to be exported from the toggle columns button ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",whats the yearly report ?,monthly report is a feature that allows managers to view and export details of employees attendance across of a selected span of time in a year
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view the yearly report of a certain office ?,"under the attendance section , under the monthly report tab , navigate and select an office from the office dropdown menu ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view the yearly report of a certain department ?,"under the attendance section , under the monthly report tab , navigate and select a department from the departments dropdown menu "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view the Yearly report for a certain position ?,"under the attendance section , under the monthly report tab , navigate and select a position from the positions dropdown menu "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view the Yearly report of a certain employee ?,"under the attendance section , under the monthly report tab , navigate and select an employee from  the employee dropdown menu "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to export a Yearly report ?,"under the attendance section , under the attendance tab , navigate and select a date range using the from and to fields then press the export button to export the monthly report for employees in that date range "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to export certain columns in the Yearly report ?,"under the attendance section , under the monthly report tab , navigate and select the desired columns to be exported from the toggle columns button ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",whats the facial recognition report ?,its a features that allows managers to view and validate facial recognition images and view spoofed images and locations as well as export the report .
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view certain employee facial recognition report ?,"under the attendance section , under the facial recognition report , navigate and select an employee from the employees dropdown menu "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view certain department facial recognition report ?,"under the attendance section , under the facial recognition report , navigate and select a department from the departments dropdown menu "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view certain position facial recognition report ?,"under the attendance section , under the facial recognition report , navigate and select a position from the positions dropdown menu "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view certain office facial recognition report ?,"under the attendance section , under the facial recognition report , navigate and select an office from the offices dropdown menu "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view certain facial recognition report images within a date range ?,"under the attendance section , under the facial recognition report , navigate and select a date from the from and to date fields "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view only spoofed images in the facial recognition report ?,"under the attendance section , under the facial recognition report tab , navigate and select show only spoofed images checkbox ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to view only mocked locations from the facial recognition report ?,"under the attendance section , under the facial recognition report tab , navigate and select show only spoofed locations checkbox ."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to export facial recognition report ?,"under the attendance section , under the facial recognition report tab , navigate and select a date from the from and to fields then select export button , if you want to select certain columns navigate and select columns from the toggle columns button "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what is leave adjustments ?,its a features that allows managers to add and deduct leave and permission balance from employees and keep records of the change history
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to add annual leave balance for an employee ?,"under the attendance section , under the leave adjustments tab , navigate and press the add balance button then choose to add balance  and choose the type of balance and the amount and the employee . "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to deduct annual leave balance from an employee ?,"under the attendance section , under the leave adjustments tab , navigate and press the add balance button then choose to deduct balance  and choose the type of balance and the amount and the employee . "
